sample	tx.count	subset	subsetname	condition	histov1	histov2	histov22	timepoint	adj.timepoint	samplenames	length.mm	weight.g
AI14A_11G	14053	3	AI14A	T	ET	ET	ET	39	39	AI14A_11G	190	58.3
AI14A_12G	14313	3	AI14A	T	ET	ET	ET	39	39	AI14A_12G	229	191.5
AI14A_14G	12703	3	AI14A	C	BF	BF	F	39	39	AI14A_14G	165	59.9
AI14A_15G	13812	3	AI14A	C	BF	BF	F	39	39	AI14A_15G	165	62.8
AI14A_22G	13982	3	AI14A	T	ET	ET	ET	60	60	AI14A_22G	180	86.7
AI14A_23G	16829	3	AI14A	T	LT	LT	LT	60	60	AI14A_23G	215	162
AI14A_24G	13468	3	AI14A	T	ET	ET	ET	60	60	AI14A_24G	215	136.7
AI14A_25G	13777	3	AI14A	T	ET	ET	ET	60	60	AI14A_25G	169	65.9
AI14A_26G	13111	3	AI14A	C	BF	BF	F	60	60	AI14A_26G	199	107.3
AI14A_27G	13583	3	AI14A	C	BF	BF	F	60	60	AI14A_27G	158	59.9
AI14A_29G	14061	3	AI14A	C	BF	BF	F	60	60	AI14A_29G	167	65.5
AI14A_30G	14672	3	AI14A	T	ET	ET	ET	60	60	AI14A_30G	210	132.7
AI14A_6G	12494	3	AI14A	C	BF	BF	F	21	21	AI14A_6G	176	81.25
AI14A_8G	12976	3	AI14A	T	ET	ET	ET	21	21	AI14A_8G	195	107.59
SI16_16G	14084	1	SI16	T	ET	ET	ET	30	30	SI16_16G	199	112.7
SI16_18G	16164	1	SI16	T	IPM	IPM	IPM	30	30	SI16_18G	197	111.2
SI16_1G	16731	1	SI16	T	TPM	TPM	TPM	0	0	SI16_1G	225	175.7
SI16_21G	13581	1	SI16	C	BF	BF	F	50	0	SI16_21G	172	72.6
SI16_22G	16399	1	SI16	T	MT	MT	MT	50	20	SI16_22G	178	80
SI16_23G	14137	1	SI16	C	BF	BF	F	50	0	SI16_23G	173	68.9
SI16_24G	15365	1	SI16	T	ET	ET	ET	50	20	SI16_24G	173	74.7
SI16_26G	16067	1	SI16	T	LT	LT	LT	50	20	SI16_26G	180	77.4
SI16_27G	13443	1	SI16	C	BF	BF	F	50	0	SI16_27G	183	85.4
SI16_28G	13018	1	SI16	T	ET	ET	ET	50	20	SI16_28G	176	73.1
SI16_29G	13719	1	SI16	C	BF	BF	F	50	0	SI16_29G	195	109.2
SI16_2G	16808	1	SI16	T	TPM	TPM	TPM	0	0	SI16_2G	220	165.8
SI16_30G	14021	1	SI16	T	ET	ET	ET	50	20	SI16_30G	196	116.1
SI16_34G	13259	1	SI16	T	ET	ET	ET	60	10	SI16_34G	184	87.6
SI16_36G	13662	1	SI16	T	ET	ET	ET	60	10	SI16_36G	176	76.1
SI16_37G	13468	1	SI16	C	BF	BF	F	60	0	SI16_37G	170	61.9
SI16_38G	12664	1	SI16	T	ET	ET	ET	60	10	SI16_38G	202	94.9
SI16_3G	18144	1	SI16	T	TPM	TPM	TPM	0	0	SI16_3G	215	130.3
SI16_40G	16876	1	SI16	T	TPM	TPM	TPM	60	10	SI16_40G	177	83.6
SI16_45G	16146	1	SI16	T	IPM	IPM	IPM	65	5	SI16_45G	164	52
SI16_49G	16955	1	SI16	T	IPM	IPM	IPM	65	5	SI16_49G	175	75.3
SI16_4G	16637	1	SI16	T	TPM	TPM	TPM	0	0	SI16_4G	240	211.9
SI16_52G	13246	1	SI16	C	BF	BF	F	66	0	SI16_52G	150	39.9
SI16_53G	14610	1	SI16	T	ET	ET	ET	66	1	SI16_53G	158	53.2
SI16_57G	18446	1	SI16	C	IPM	IPM	IPM	66	0	SI16_57G	157	50.5
SI16_58G	14081	1	SI16	T	ET	ET	ET	66	1	SI16_58G	162	55.9
SI16_5G	16110	1	SI16	T	TPM	TPM	TPM	0	0	SI16_5G	235	224.3
SI18_10G	13109	2	SI18	T	ET	ET	ET	36	36	SI18_10G	180	76.6
SI18_11G	18982	2	SI18	T	LT	LT	LT	36	36	SI18_11G	200	103.6
SI18_14G	9437	2	SI18	T	ET	ET	ET	51	51	SI18_14G	175	72.9
SI18_15G	13128	2	SI18	T	MT	MT	MT	51	51	SI18_15G	158	53.1
SI18_16G	12167	2	SI18	T	MT	MT	MT	51	51	SI18_16G	138	26
SI18_18G	13076	2	SI18	T	MT	MT	MT	51	51	SI18_18G	178	60.8
SI18_19G	12616	2	SI18	T	ET	ET	ET	51	51	SI18_19G	149	42
SI18_20G	12279	2	SI18	T	ET	ET	ET	51	51	SI18_20G	158	50.4
SI18_21G	13817	2	SI18	T	MT	MT	MT	51	51	SI18_21G	195	100
SI18_22G	12674	2	SI18	T	MT	MT	MT	51	51	SI18_22G	160	56.5
SI18_23G	19009	2	SI18	T	MT	MT	MT	61	61	SI18_23G	181	63.7
SI18_24G	17311	2	SI18	T	MT	MT	MT	61	61	SI18_24G	164	54.9
SI18_25G	18778	2	SI18	T	LT	LT	LT	61	61	SI18_25G	203	120.6
SI18_27G	17151	2	SI18	T	LT	LT	LT	61	61	SI18_27G	186	87.6
SI18_28G	19062	2	SI18	T	LT	LT	LT	61	61	SI18_28G	218	128
SI18_29G	12725	2	SI18	T	ET	ET	ET	61	61	SI18_29G	180	82
SI18_2G	12429	2	SI18	T	MT	MT	MT	26	26	SI18_2G	176	71.7
SI18_30G	12463	2	SI18	T	NBF	NBF	F	61	61	SI18_30G	170	67
SI18_31G	12402	2	SI18	T	ET	ET	ET	61	61	SI18_31G	163	59.3
SI18_32G	12132	2	SI18	T	ET	ET	ET	61	61	SI18_32G	149	44.7
SI18_33G	12680	2	SI18	T	ET	ET	ET	80	80	SI18_33G	149	45
